latitude,longitude,index
3.0,-27.0,1
3.0,-26.75,2
3.0,-26.5,3
3.0,-26.25,4
3.0,-26.0,5
3.0,-25.75,6
3.0,-25.5,7
3.0,-25.25,8
3.0,-25.0,9
3.0,-24.75,10
3.0,-24.5,11
3.0,-24.25,12
3.0,-24.0,13
3.0,-23.75,14
3.0,-23.5,15
3.0,-23.25,16
3.0,-23.0,17
3.0,-22.75,18
3.0,-22.5,19
3.0,-22.25,20
3.0,-22.0,21
3.0,-21.75,22
3.0,-21.5,23
3.0,-21.25,24
3.0,-21.0,25
3.0,-20.75,26
3.0,-20.5,27
3.0,-20.25,28
3.0,-20.0,29
3.0,-19.75,30
3.0,-19.5,31
3.0,-19.25,32
3.0,-19.0,33
3.0,-18.75,34
3.0,-18.5,35
3.0,-18.25,36
3.0,-18.0,37
3.0,-17.75,38
3.0,-17.5,39
3.0,-17.25,40
3.0,-17.0,41
3.0,-16.75,42
3.0,-16.5,43
3.0,-16.25,44
3.0,-16.0,45
3.0,-15.75,46
3.0,-15.5,47
3.0,-15.25,48
3.0,-15.0,49
3.0,-14.75,50
3.0,-14.5,51
3.0,-14.25,52
3.0,-14.0,53
3.0,-13.75,54
3.0,-13.5,55
3.0,-13.25,56
3.0,-13.0,57
3.0,-12.75,58
3.0,-12.5,59
3.0,-12.25,60
3.0,-12.0,61
3.0,-11.75,62
3.0,-11.5,63
3.0,-11.25,64
3.0,-11.0,65
3.0,-10.75,66
3.0,-10.5,67
3.0,-10.25,68
3.0,-10.0,69
3.0,-9.75,70
3.0,-9.5,71
3.0,-9.25,72
3.0,-9.0,73
3.0,-8.75,74
3.0,-8.5,75
3.0,-8.25,76
3.0,-8.0,77
3.0,-7.75,78
3.0,-7.5,79
3.0,-7.25,80
3.0,-7.0,81
3.0,-6.75,82
3.0,-6.5,83
3.0,-6.25,84
3.0,-6.0,85
3.0,-5.75,86
3.0,-5.5,87
3.0,-5.25,88
3.0,-5.0,89
3.0,-4.75,90
3.0,-4.5,91
3.0,-4.25,92
3.0,-4.0,93
3.0,-3.75,94
3.0,-3.5,95
3.0,-3.25,96
3.0,-3.0,97
3.0,-2.75,98
3.0,-2.5,99
3.0,-2.25,100
3.0,-2.0,101
3.0,-1.75,102
3.0,-1.5,103
3.0,-1.25,104
3.0,-1.0,105
3.0,-0.75,106
3.0,-0.5,107
3.0,-0.25,108
3.0,0.0,109
3.0,0.25,110
3.0,0.5,111
3.0,0.75,112
3.0,1.0,113
3.0,1.25,114
3.0,1.5,115
3.0,1.75,116
3.0,2.0,117
3.0,2.25,118
3.0,2.5,119
3.0,2.75,120
3.0,3.0,121
3.0,3.25,122
3.0,3.5,123
3.0,3.75,124
3.0,4.0,125
3.0,4.25,126
3.0,4.5,127
3.0,4.75,128
3.0,5.0,129
3.0,5.25,130
3.0,5.5,131
3.0,5.75,132
3.0,6.0,133
3.0,6.25,134
3.0,6.5,135
3.0,6.75,136
3.0,7.0,137
3.0,7.25,138
3.0,7.5,139
3.0,7.75,140
3.0,8.0,141
3.0,8.25,142
3.0,8.5,143
3.0,8.75,144
3.0,9.0,145
3.0,9.25,146
3.0,9.5,147
3.0,9.75,148
3.0,10.0,149
3.0,10.25,150
3.0,10.5,151
3.0,10.75,152
3.0,11.0,153
3.0,11.25,154
3.0,11.5,155
3.0,11.75,156
3.0,12.0,157
3.0,12.25,158
3.0,12.5,159
3.0,12.75,160
3.0,13.0,161
3.0,13.25,162
3.0,13.5,163
3.0,13.75,164
3.0,14.0,165
3.0,14.25,166
3.0,14.5,167
3.0,14.75,168
3.0,15.0,169
3.0,15.25,170
3.0,15.5,171
3.0,15.75,172
3.0,16.0,173
3.0,16.25,174
3.0,16.5,175
3.0,16.75,176
3.0,17.0,177
3.25,-27.0,178
3.25,-26.75,179
3.25,-26.5,180
3.25,-26.25,181
3.25,-26.0,182
3.25,-25.75,183
3.25,-25.5,184
3.25,-25.25,185
3.25,-25.0,186
3.25,-24.75,187
3.25,-24.5,188
3.25,-24.25,189
3.25,-24.0,190
3.25,-23.75,191
3.25,-23.5,192
3.25,-23.25,193
3.25,-23.0,194
3.25,-22.75,195
3.25,-22.5,196
3.25,-22.25,197
3.25,-22.0,198
3.25,-21.75,199
3.25,-21.5,200
3.25,-21.25,201
3.25,-21.0,202
3.25,-20.75,203
3.25,-20.5,204
3.25,-20.25,205
3.25,-20.0,206
3.25,-19.75,207
3.25,-19.5,208
3.25,-19.25,209
3.25,-19.0,210
3.25,-18.75,211
3.25,-18.5,212
3.25,-18.25,213
3.25,-18.0,214
3.25,-17.75,215
3.25,-17.5,216
3.25,-17.25,217
3.25,-17.0,218
3.25,-16.75,219
3.25,-16.5,220
3.25,-16.25,221
3.25,-16.0,222
3.25,-15.75,223
3.25,-15.5,224
3.25,-15.25,225
3.25,-15.0,226
3.25,-14.75,227
3.25,-14.5,228
3.25,-14.25,229
3.25,-14.0,230
3.25,-13.75,231
3.25,-13.5,232
3.25,-13.25,233
3.25,-13.0,234
3.25,-12.75,235
3.25,-12.5,236
3.25,-12.25,237
3.25,-12.0,238
3.25,-11.75,239
3.25,-11.5,240
3.25,-11.25,241
3.25,-11.0,242
3.25,-10.75,243
3.25,-10.5,244
3.25,-10.25,245
3.25,-10.0,246
3.25,-9.75,247
3.25,-9.5,248
3.25,-9.25,249
3.25,-9.0,250
3.25,-8.75,251
3.25,-8.5,252
3.25,-8.25,253
3.25,-8.0,254
3.25,-7.75,255
3.25,-7.5,256
3.25,-7.25,257
3.25,-7.0,258
3.25,-6.75,259
3.25,-6.5,260
3.25,-6.25,261
