latitude,longitude,elevation,station_name,year,month,tavg,tmax,tmin,prcp
5.5,6.5,0.0,South Dolphin,2007,4,24.3,,21.9,26.7
5.5,6.5,0.0,South Dolphin,2007,7,34.7,,31.6,
5.5,6.5,0.0,South Dolphin,2007,11,22.5,,19.1,
5.5,6.5,0.0,South Dolphin,2007,12,15.9,,13.3,10.2
5.5,6.5,0.0,South Dolphin,2008,1,11.2,,8.9,
5.5,6.5,0.0,South Dolphin,2008,2,13.9,,11.5,
5.5,6.5,0.0,South Dolphin,2008,3,21.0,,18.0,0.0
5.5,6.5,0.0,South Dolphin,2008,4,25.8,,22.7,7.6
23.7,-15.8667,10.0,Villa Cisneros,1994,1,17.0,,,4.0
23.7,-15.8667,10.0,Villa Cisneros,1994,2,17.5,,,0.0
23.7,-15.8667,10.0,Villa Cisneros,1994,3,17.6,,,0.0
23.7,-15.8667,10.0,Villa Cisneros,1994,4,19.0,,,0.0
23.7,-15.8667,10.0,Villa Cisneros,1994,5,19.8,,,0.5
23.7,-15.8667,10.0,Villa Cisneros,1994,6,20.8,,17.7,0.0
23.7,-15.8667,10.0,Villa Cisneros,1994,7,21.5,,19.3,0.0
23.7,-15.8667,10.0,Villa Cisneros,1994,8,21.7,,19.3,0.0
23.7,-15.8667,10.0,Villa Cisneros,1994,9,21.3,25.1,19.0,0.0
23.7,-15.8667,10.0,Villa Cisneros,1994,10,21.7,25.7,,0.0
23.7,-15.8667,10.0,Villa Cisneros,1994,11,21.2,26.2,,0.0
23.7,-15.8667,10.0,Villa Cisneros,1994,12,20.0,25.0,,8.0
23.7,-15.8667,10.0,Villa Cisneros,1995,1,17.5,,,0.0
23.7,-15.8667,10.0,Villa Cisneros,1995,2,18.3,22.9,,0.0
23.7,-15.8667,10.0,Villa Cisneros,1995,3,18.2,21.9,14.5,0.0
23.7,-15.8667,10.0,Villa Cisneros,1995,4,19.4,,16.0,0.0
23.7,-15.8667,10.0,Villa Cisneros,1995,5,20.4,23.7,17.1,0.0
23.7,-15.8667,10.0,Villa Cisneros,1995,6,21.6,25.7,18.4,0.0
23.7,-15.8667,10.0,Villa Cisneros,1995,7,23.2,26.4,20.0,0.0
23.7,-15.8667,10.0,Villa Cisneros,1995,8,23.6,26.9,20.3,0.0
23.7,-15.8667,10.0,Villa Cisneros,1995,9,23.3,26.7,19.9,2.0
23.7,-15.8667,10.0,Villa Cisneros,1995,10,24.2,28.8,19.7,2.0
23.7,-15.8667,10.0,Villa Cisneros,1995,11,23.2,27.1,19.2,0.0
23.7,-15.8667,10.0,Villa Cisneros,1995,12,20.0,24.7,16.5,6.0
23.7,-15.8667,10.0,Villa Cisneros,1996,1,19.6,22.8,16.3,18.0
23.7,-15.8667,10.0,Villa Cisneros,1996,2,19.2,22.1,16.3,3.0
23.7,-15.8667,10.0,Villa Cisneros,1996,3,19.1,28.6,13.5,6.0
23.7,-15.8667,10.0,Villa Cisneros,1996,4,20.1,23.6,16.6,0.0
23.7,-15.8667,10.0,Villa Cisneros,1996,5,21.4,24.8,18.0,0.0
23.7,-15.8667,10.0,Villa Cisneros,1996,6,21.6,24.9,18.2,0.0
23.7,-15.8667,10.0,Villa Cisneros,1996,7,21.7,25.5,18.8,0.0
23.7,-15.8667,10.0,Villa Cisneros,1996,8,23.0,26.3,19.8,10.0
23.7,-15.8667,10.0,Villa Cisneros,1996,9,23.0,26.6,19.5,4.0
23.7,-15.8667,10.0,Villa Cisneros,1996,10,23.4,27.6,19.2,1.0
23.7,-15.8667,10.0,Villa Cisneros,1996,11,21.8,25.6,18.1,0.0
23.7,-15.8667,10.0,Villa Cisneros,1996,12,18.7,22.7,14.9,1.0
23.7,-15.8667,10.0,Villa Cisneros,1997,1,19.1,23.0,15.3,2.0
23.7,-15.8667,10.0,Villa Cisneros,1997,2,21.8,26.5,17.1,0.0
23.7,-15.8667,10.0,Villa Cisneros,1997,3,21.1,25.6,16.6,0.0
23.7,-15.8667,10.0,Villa Cisneros,1997,4,20.1,23.3,17.0,2.0
23.7,-15.8667,10.0,Villa Cisneros,1997,5,20.5,25.9,15.5,1.0
23.7,-15.8667,10.0,Villa Cisneros,1997,6,22.6,26.3,18.8,0.0
23.7,-15.8667,10.0,Villa Cisneros,1997,7,21.7,25.5,18.8,0.0
23.7,-15.8667,10.0,Villa Cisneros,1997,8,22.8,26.3,19.2,0.5
23.7,-15.8667,10.0,Villa Cisneros,1997,9,23.0,26.6,19.5,0.5
23.7,-15.8667,10.0,Villa Cisneros,1997,10,22.8,26.5,19.1,0.0
23.7,-15.8667,10.0,Villa Cisneros,1997,11,21.6,25.2,18.1,0.0
